Method,Score
B,86.01434336465731
B,100.4658743641516
B,87.38958312661376
B,56.76756040855184
B,69.18919112560498
B,90.20293379023947
B,66.50796641257463
B,80.32583313775474
B,84.29560864115204
B,63.876834341063
B,74.2856957272584
B,36.10479191917113
B,62.707348303988525
B,71.96918218328207
B,60.0266018164218
B,94.58893564717962
B,57.8383034644724
B,69.7194661596362
B,76.5688869274331
B,92.29527946879338
B,57.769654185846726
B,88.95796502585952
B,75.12279673223505
B,63.22189618742459
B,80.54524169115925
B,77.38871634688164
B,67.79739747409447
B,75.83762501988022
B,70.37623683765888
B,76.36220814301498
B,82.94556809425256
B,94.03220179374422
B,60.14621401407781
B,100.5964004958752
B,51.574946405729975
B,73.178578859573
B,82.05980647781492
B,78.37190241282039
B,67.52760576215287
B,72.5025329957127
B,69.083988784094
B,67.92762291666946
B,85.19522516425229
B,79.28418583158057
B,66.68508485687215
B,85.79519850519901
B,78.68759425051931
B,84.75434542606752
B,82.55554610308334
B,65.05205986893513
B,68.27782751763637
B,83.96752326147914
B,82.32444318520157
B,74.74918087243022
B,76.40792859970539
B,90.3319787494611
B,67.90114333397004
B,81.56516857404046
B,72.57368817079328
B,72.38782556127336
B,88.18532222384628
B,84.90499618785636
B,84.76211563200766
B,90.66574568585195
B,75.2520460995931
B,83.18343565553957
B,71.27679892087853
B,78.88999622986131
B,73.43828334758778
B,76.16395157991262
B,82.14188430524297
B,65.18135180119833
B,100.10864730822553
B,62.92779142200358
B,60.42973664654721
B,88.89733048200081
B,84.49995232755523
B,82.48943780462587
B,82.54014611117135
B,74.85303872583702
B,64.23294754217002
B,75.90965469832472
B,66.87405946185466
B,86.70143680101302
B,73.23531142197433
B,65.09403363848986
B,71.14336990016407
B,79.95517745130749
B,68.2353053663523
B,65.13335525320282
B,77.92424653790295
B,77.93959885330467
B,68.91668189554645
B,69.34754033258012
B,77.78459924829164
B,57.62298790203211
B,58.11043470748134
B,66.37866934497077
B,72.43863417945784
B,78.73089078717605
B,92.70427460339462
B,85.29191547842423
B,73.08073764043887
B,74.77180550516773
B,62.969647624346294
B,74.77784236809133
B,71.53609633295834
B,78.87262272405707
B,65.07322867737213
B,81.23215817089407
B,93.39286695603093
B,73.69487821851772
B,79.8205406651873
B,83.28172790053335
B,70.18535433736997
B,77.689109781725
B,75.15110880938154
B,76.17211318258597
B,65.7238825937344
B,75.29412209110731
B,80.97597949494539
B,92.4137232935405
B,86.51124991302248
B,100.83818949013867
B,65.79182924534341
B,85.46784764064813
B,77.20010406886023
B,101.27763519861207
B,65.30042057573819
B,64.92333789383069
B,67.80728825467173
B,49.51325130828232
B,68.69093973983087
B,65.89040806135563
B,76.8047254377145
B,79.10107170932591
B,97.51405007059063
B,86.4050860582326
B,68.07715613205116
B,64.2190239438197
B,80.90303005807807
B,59.15720151575229
B,96.97750519025224
B,89.15328144865545
B,69.36989217474354
B,54.44238565090947
B,91.24646848998495
B,73.62552185696859
B,89.85379574368154
C,67.24457872964507
C,75.20499981636982
C,80.04194959774547
C,80.37584475011793
C,76.39947622816605
C,84.98279945878
C,71.45903656493924
C,78.86096411982965
C,80.9623650536952
C,84.11551067247
C,85.69291902471112
C,71.00286326529705
C,67.72708663411503
C,90.22141457518808
C,82.65851209583673
C,74.01210770754757
C,92.40921580418018
C,80.92539707434287
C,89.43437747251062
C,80.54014785128088
C,96.4859833990559
C,94.04272673954563
C,78.00828681216741
C,87.77256760763484
C,85.16300759668118
C,90.94905246025878
C,72.28061231535916
C,85.48841167998751
C,88.46739589479671
C,65.93008410861509
C,70.5339318986738
C,63.6861425779192
C,77.84474532444354
C,85.7403380463677
C,92.01885641676823
C,80.5927582433582
C,93.02892436457033
C,68.95918833428087
C,66.37294048515876
C,79.55561840882704
C,83.07252359151445
C,79.73844201524726
C,63.46046319968099
C,79.28703968389769
C,69.56424399596118
C,85.3573803906403
C,82.93278596877478
C,72.48096170938116
C,75.88906466130645
C,71.52629182488839
C,79.49856722181462
C,87.6411385640099
C,72.11419162931566
C,84.03237212414275
C,75.75793905302048
C,73.65701734190125
C,79.14375712036353
C,71.718061420645
C,75.57080555722254
C,70.4169768592892
C,95.71780106333111
C,80.28210841577383
C,74.40219593605931
C,81.71183928587378
C,79.10137560247337
C,78.23224320373421
C,84.9133336003474
C,86.06006168037844
C,75.75599081911578
C,75.39345407484257
C,77.79958642278685
C,61.58463068211532
C,67.87847150241159
C,90.9349941395562
C,93.15974170801027
C,78.00771168354898
C,84.61245570444613
C,82.49000123634829
C,104.63104646764191
C,88.9565992914766
C,78.97665926815387
C,72.35567647519659
C,67.14842943793943
C,81.62770908693778
C,73.94919403772558
C,68.6219703232186
C,74.82741692605978
C,71.34761597108483
C,93.49713308058051
C,87.0531180555956
C,79.93621886946706
C,91.83955311112021
C,80.61894646118094
C,73.10972638937389
C,92.18499261815725
C,84.31128034947727
C,71.70203076538834
C,78.47729057533114
C,72.99505397292194
C,68.93760215228531
C,87.40942038025312
C,95.27533312376104
C,68.81145940944687
C,84.50375389352456
C,74.79485944702539
C,76.10299692988244
C,75.26084860608904
C,73.08807384256147
C,80.38817302355862
C,73.35239906871169
C,82.16365460623871
C,79.59809512440691
C,78.08841562506872
C,72.73949070366722
C,75.38582935545334
C,86.04312980660605
C,84.00733750099505
C,72.17955804161159
C,80.7946584434338
C,86.01109698697431
C,66.64475775102903
C,84.34688153903949
C,74.69900992843323
C,84.56478934874528
C,73.89392674765986
C,65.56094319468384
C,66.9796604969347
C,80.38467957329105
C,82.07778001377186
C,72.76546699916473
C,85.108739670219
C,66.70783950184833
C,79.47136161082146
C,70.31187040190035
C,74.78531113758272
C,80.37918937053131
C,73.11669307772839
C,76.9235556461614
C,88.05034247371552
C,75.38486504381481
C,86.68553689652113
C,70.96234516273906
C,84.23843342332226
C,91.5325489652632
C,60.226843998981686
C,73.62483795623619
C,84.61657701744431
C,78.37563691165606
C,82.96916698697046
C,75.16811850627343
C,80.6927182997832
C,78.75458211686336
C,89.34225649327846
C,82.03536674640971
C,82.70082129660162
C,76.70498427102027
C,76.09915020742005
C,76.53953449744303
C,83.15561713902638
C,76.6321241534379
C,82.3181988551713
C,96.60320638916352
C,86.96899762745353
C,77.39181174265727
C,89.60971137731156
C,76.73539701582759
C,63.69500371857717
C,71.93530951266077
C,65.03366463179316
C,77.18789212766953
C,80.14734703351641
C,93.41149849820226
C,82.6154189901133
C,78.24719576952909
C,86.63524464946791
C,62.31091752793692
C,81.88491646486852
C,86.16692155109574
C,68.17131003376127
C,89.15003234565543
C,82.70797125995531
C,76.67769668879359
C,85.06225492885028
C,98.16554286243516
C,81.45493004046796
C,81.98576469040269
C,76.32511280367805
C,73.20124504428166
C,86.64268653235396
C,73.15132939272907
C,80.57252989775515
C,76.17874042587907
C,83.83183860597113
C,82.66929684229558
C,88.3003195540632
C,75.91986880916203
C,77.84100051765303
C,72.16989027374154
C,76.4456539193911
C,83.01840394435882
